Cosmetic_ID,Brand,Name,Type
876,ORLY,Rich,Renewal
877,ORLY,Rich,Renewal
878,ORLY,Rich,Renewal
879,ORLY,Ridgefiller,Smoothing
880,ORLY,Sec,'n
881,ORLY,Smudge,Fixer
882,ORLY,Spritz,Dry
883,ORLY,Sunscreen,for
884,ORLY,Top,2
885,ORLY,Tough,Cookie
886,ORLY,Won't,Chip
887,ORLY,Zebra,Foam
888,Rescue,Beauty,Lounge
889,Rescue,Beauty,Lounge
890,Rescue,Beauty,Lounge
891,Rescue,Beauty,Lounge
892,Rescue,Beauty,Lounge
893,SpaRitual,180/240,Grit
894,SpaRitual,240/320,Grit
895,SpaRitual,Andale,Dry
896,SpaRitual,Center,Yourself
898,SpaRitual,Cuti-Clean,Cuticle
899,SpaRitual,Cuti-Cocktail,Pen
900,SpaRitual,Cuti-Quench,Cuticle
901,SpaRitual,Cuti-Treat,Cuticle
902,SpaRitual,Eco,Foot
903,SpaRitual,Farewell,Helps
904,SpaRitual,Fluent,Extra
905,SpaRitual,Fluent,Extra
906,SpaRitual,Fluent,Gentle
908,SpaRitual,Handprint,Hydrating
909,SpaRitual,Impeccable,Chip-Resistant
910,SpaRitual,Infinitely,Loving
911,SpaRitual,Infinitely,Loving
912,SpaRitual,Infinitely,Loving
913,SpaRitual,Infinitely,Wise
914,SpaRitual,Instinctual,Clay
916,SpaRitual,Instinctual,Sand
917,SpaRitual,Lacquer,Lock
918,SpaRitual,Look,Inside
919,SpaRitual,Multi-Tasker,Base
920,SpaRitual,Nail,Buffer
921,SpaRitual,Nail,Lacquer
922,SpaRitual,Nail,Lacquer
923,SpaRitual,Nutri-Thick,Growth
924,SpaRitual,Protein,Boost
925,SpaRitual,Resurface,Smoothing
926,SpaRitual,Resurface,Smoothing
927,SpaRitual,Solar,Plexus
928,SpaRitual,Sole,mate
930,SpaRitual,Throat,Chakra
931,SpaRitual,Tout,de
932,SpaRitual,Truebond,Primer
933,SpaRitual,Truebond,Strong
934,SpaRitual,Truebond,Strong
935,SpaRitual,Vegan,Lipgloss
936,Sugarpill,Angel,Baby
937,Sugarpill,Baby,Dewdrop
938,Sugarpill,CatEye,"
False Eyelashes
"
939,Sugarpill,Daydreamer,"
False Eyelashes
"
940,Sugarpill,Dewdrop,"
False Eyelashes
"
941,Sugarpill,Dreamy,"
False Eyelashes
"
942,Sugarpill,Flutter,"
False Eyelashes
"
943,Sugarpill,Pixie,Bomb
944,Sugarpill,Porcelain,"
False Eyelashes
"
945,Sugarpill,Precious,"
False Eyelashes
"
946,Sugarpill,Saint,"
False Eyelashes
"
947,Sugarpill,Secret,"
False Eyelashes
"
948,Sugarpill,Shady,Lane
949,Sugarpill,Sinnocent,"
False Eyelashes
"
